,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
4970,160599645,Весы напольные электронные с приложением для дома 180 кг,Покупатель Wildberries,1,"22 июня, 06:24",,"Весы ни разу не показали одинаковый вес,было пробное взвешивание с эталонным грузом тоже неудачно!",Хочу возврат сделать,Выкупили
2281,183948489,Подарочный набор бокалов с надписью,Кристина,1,"07 марта, 19:44",,,"Отвратительно , ребята не заказывайте здесь , подарила подруги , и так стыдно все буквы стерлись , какой позор",Выкупили
9187,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Елена,1,"22 июня, 02:32 • Дополнен",,,"Сняла звезду, так как заявоенное название не соответствует действительности. Попользовавшись какое то время ""маслом"" (не выкидывать же), пришла к такому выводу - это вообще не гидрофильное масло, а просто гель-умывашка. Пенится до контакта с водой, не имеет маслянистой текстуры. Косметику водостокую не смывает вообще, а обычную не водостокую тушь смывает плохо, приходится пользоваться несколько раз. Как обычная умывашка вполне норм. Не знаю, откуда столько восторженные отзывов. Может, не все знают принцип действия гидрофильного масла?",Выкупили
8409,28923876,Блузка базовая,Елена,1,"16 июня, 12:23",,Голимая чинтетика,,Отказались
10800,35778729,"Жиросжигатель для похудения капсулы, БАД",Анна,1,"Вчера, 16:21",,вообще не помогает,,Выкупили
10536,35778729,"Жиросжигатель для похудения капсулы, БАД",Людмила,1,"Сегодня, 19:49",,,"""Ноль"" , если учесть что я 3-4 раза в неделю хожу на тренировки, каждый день прохожу по 5 км., правильно питаюсь, после приема никаких сдвигов в сторону ""-"" не было.....",Выкупили
3562,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Галина,1,"14 июня, 22:11 • Дополнен",,,"Один пакет брак,не запаян ,пропускает воздух.",Выкупили
5538,142199442,Емкость для сыпучих продуктов баночки c наклейками,Людмила,1,"16 апреля, 20:43",,Нет ни одной наклейки,,Выкупили
961,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Татьяна,1,"Вчера, 01:04",Ничего,"Остаются мокрыми, протекают","Это ночной кошмар. Были запасными, оставили меня на доп день в роддоме, за одну ночь поменяла 8 шт подгузников. Более того один попис - половина на кровати, половина впиталась где-то в уголке на животе, все это остается влажным, ребенку не комфортно .
В итоге всю ночь ребенок мучился, я спала на мокрых сторонах кровати пока другие сохнут. Может мальчикам они категорически не подходят анатомически, но это кошмар, спасибо до этого были джунисы было время понять, что такое нормальный подгузник, а не это китайское ватное изобретение",Выкупили
9432,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Лилия,1,"17 июня, 18:43","Самое ужасное масло из всей линейки. Слишком жидкое,не успеваешь на кожу нанести - всё стекает,неприятный запах . Самое лучшее - с манго,мой фаворит .С зелёным чаем тоже неплохо,но для жирной кожи, сушит.",,,Выкупили
9573,35778729,"Жиросжигатель для похудения капсулы, БАД",Крестина,1,"Сегодня, 20:47",Пустышка не оригинал,,,Выкупили
9645,35778729,"Жиросжигатель для похудения капсулы, БАД",Светлана,1,"Сегодня, 13:39",,Не помогает,,Выкупили
10601,35778729,"Жиросжигатель для похудения капсулы, БАД",Уржумова Нина Владимировна,1,"Сегодня, 13:57",,Не помогает,,Выкупили
4297,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Софья,1,"05 мая, 15:20",,,"К сожалению  не смогла оценить качество, так как пришлось вернуть товар. В коробке не было электронасоса! Коробка из под набора видавшая жизнь, и  видно я не первая к кому она приезжает, потому что пакет в который она была упакована был без следов вскрытия.
Один клапан был бракованный.",Отказались
12063,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Светлана,1,"16 марта, 18:34",,Один бокал разбит,"Можно как-то по-лучше упаковывать? Очень обидно, брала на подарок, а бокал разбит.",Отказались
